rule,layer,roi,subject,rho,pval,seed_idx
Burstprop,Conv2,V1,sub-02,0.03259,0.0,1
Burstprop,Conv2,V1,sub-03,0.0079,6e-05,1
Burstprop,Conv2,V2,sub-01,0.01559,0.0,1
Burstprop,Conv2,V2,sub-02,0.02618,0.0,1
Burstprop,Conv2,V2,sub-03,0.00346,0.0782,1
Burstprop,Conv2,V3,sub-01,0.01309,0.0,1
Burstprop,Conv2,V3,sub-02,0.02911,0.0,1
Burstprop,Conv2,V3,sub-03,0.00494,0.01191,1
Burstprop,Conv2,V4,sub-01,0.00314,0.10968,1
Burstprop,Conv2,V4,sub-02,0.01414,0.0,1
Burstprop,Conv2,V4,sub-03,0.00607,0.00201,1
Burstprop,Conv2,LOC,sub-01,0.0076,0.00011,1
Burstprop,Conv2,LOC,sub-02,0.01502,0.0,1
Burstprop,Conv2,LOC,sub-03,8e-05,0.96933,1
Burstprop,Conv2,IT,sub-01,0.01127,0.0,1
Burstprop,Conv2,IT,sub-02,0.01214,0.0,1
Burstprop,Conv2,IT,sub-03,0.00403,0.04013,1
Burstprop,Conv3,V1,sub-01,0.03575,0.0,1
Burstprop,Conv3,V1,sub-02,0.05312,0.0,1
Burstprop,Conv3,V1,sub-03,0.01172,0.0,1
Burstprop,Conv3,V2,sub-01,0.02232,0.0,1
Burstprop,Conv3,V2,sub-02,0.04056,0.0,1
Burstprop,Conv3,V2,sub-03,0.00508,0.00969,1
Burstprop,Conv3,V3,sub-01,0.01663,0.0,1
Burstprop,Conv3,V3,sub-02,0.04021,0.0,1
Burstprop,Conv3,V3,sub-03,0.00515,0.00882,1
Burstprop,Conv3,V4,sub-01,0.00672,0.00063,1
Burstprop,Conv3,V4,sub-02,0.02261,0.0,1
Burstprop,Conv3,V4,sub-03,0.00597,0.0024,1
Burstprop,Conv3,LOC,sub-01,0.00779,7e-05,1
Burstprop,Conv3,LOC,sub-02,0.01599,0.0,1
Burstprop,Conv3,LOC,sub-03,0.00242,0.21737,1
Burstprop,Conv3,IT,sub-01,0.01177,0.0,1
Burstprop,Conv3,IT,sub-02,0.01761,0.0,1
Burstprop,Conv3,IT,sub-03,0.00413,0.03549,1
Burstprop,FC1,V1,sub-01,0.02684,0.0,1
Burstprop,FC1,V1,sub-02,0.05364,0.0,1
Burstprop,FC1,V1,sub-03,0.01095,0.0,1
Burstprop,FC1,V2,sub-01,0.01765,0.0,1
Burstprop,FC1,V2,sub-02,0.04412,0.0,1
Burstprop,FC1,V2,sub-03,0.00527,0.00739,1
Burstprop,FC1,V3,sub-01,0.01343,0.0,1
Burstprop,FC1,V3,sub-02,0.0524,0.0,1
Burstprop,FC1,V3,sub-03,0.0042,0.03246,1
Burstprop,FC1,V4,sub-01,0.00643,0.00108,1
Burstprop,FC1,V4,sub-02,0.0222,0.0,1
Burstprop,FC1,V4,sub-03,0.00646,0.00102,1
Burstprop,FC1,LOC,sub-01,0.00605,0.00209,1
Burstprop,FC1,LOC,sub-02,0.0181,0.0,1
Burstprop,FC1,LOC,sub-03,0.00262,0.18217,1
Burstprop,FC1,IT,sub-01,0.00922,0.0,1
Burstprop,FC1,IT,sub-02,0.01878,0.0,1
Burstprop,FC1,IT,sub-03,0.00304,0.12254,1
Burstprop,Conv1,V1,sub-01,0.01937,0.0,2
Burstprop,Conv1,V1,sub-02,0.03771,0.0,2
Burstprop,Conv1,V1,sub-03,0.00795,5e-05,2
Burstprop,Conv1,V2,sub-01,0.01117,0.0,2
Burstprop,Conv1,V2,sub-02,0.01991,0.0,2
Burstprop,Conv1,V2,sub-03,0.00092,0.64063,2
Burstprop,Conv1,V3,sub-01,0.01013,0.0,2
Burstprop,Conv1,V3,sub-02,0.01506,0.0,2
Burstprop,Conv1,V3,sub-03,0.00259,0.18797,2
Burstprop,Conv1,V4,sub-01,0.00222,0.25948,2
Burstprop,Conv1,V4,sub-02,0.00673,0.00061,2
Burstprop,Conv1,V4,sub-03,0.00573,0.00354,2
Burstprop,Conv1,LOC,sub-01,0.00606,0.00206,2
Burstprop,Conv1,LOC,sub-02,0.00722,0.00024,2
Burstprop,Conv1,LOC,sub-03,-0.00038,0.84568,2
Burstprop,Conv1,IT,sub-01,0.00781,7e-05,2
Burstprop,Conv1,IT,sub-02,0.00671,0.00064,2
Burstprop,Conv1,IT,sub-03,0.00306,0.1192,2
Burstprop,Conv2,V1,sub-01,0.03092,0.0,2
Burstprop,Conv2,V1,sub-02,0.05064,0.0,2
Burstprop,Conv2,V1,sub-03,0.01031,0.0,2
Burstprop,Conv2,V2,sub-01,0.02208,0.0,2
Burstprop,Conv2,V2,sub-02,0.03984,0.0,2
