rule,layer,roi,subject,seed_idx,epoch,rho,pval
Backprop,Conv1,LOC,sub-02,0,0,-0.009023,4e-06
Backprop,Conv1,LOC,sub-03,0,0,-0.000855,0.663753
Backprop,Conv1,IT,sub-01,0,0,0.006767,0.000576
Backprop,Conv1,IT,sub-02,0,0,-0.000732,0.70977
Backprop,Conv1,IT,sub-03,0,0,0.002605,0.185085
Backprop,Conv2,V1,sub-01,0,0,0.067645,0.0
Backprop,Conv2,V1,sub-02,0,0,0.109573,0.0
Backprop,Conv2,V1,sub-03,0,0,0.016819,0.0
Backprop,Conv2,V2,sub-01,0,0,0.041978,0.0
Backprop,Conv2,V2,sub-02,0,0,0.069501,0.0
Backprop,Conv2,V2,sub-03,0,0,0.002487,0.205745
Backprop,Conv2,V3,sub-01,0,0,0.031084,0.0
Backprop,Conv2,V3,sub-02,0,0,0.047485,0.0
Backprop,Conv2,V3,sub-03,0,0,0.005243,0.007641
Backprop,Conv2,V4,sub-01,0,0,0.015809,0.0
Backprop,Conv2,V4,sub-02,0,0,0.011377,0.0
Backprop,Conv2,V4,sub-03,0,0,0.003718,0.058534
Backprop,Conv2,LOC,sub-01,0,0,0.006506,0.000933
Backprop,Conv2,LOC,sub-02,0,0,-0.012063,0.0
Backprop,Conv2,LOC,sub-03,0,0,-0.002804,0.153713
Backprop,Conv2,IT,sub-01,0,0,0.007344,0.000187
Backprop,Conv2,IT,sub-02,0,0,-0.002031,0.301401
Backprop,Conv2,IT,sub-03,0,0,0.002482,0.20659
Backprop,Conv3,V1,sub-01,0,0,0.071528,0.0
Backprop,Conv3,V1,sub-02,0,0,0.116348,0.0
Backprop,Conv3,V1,sub-03,0,0,0.017223,0.0
Backprop,Conv3,V2,sub-01,0,0,0.043912,0.0
Backprop,Conv3,V2,sub-02,0,0,0.074714,0.0
Backprop,Conv3,V2,sub-03,0,0,0.002561,0.192616
Backprop,Conv3,V3,sub-01,0,0,0.033078,0.0
Backprop,Conv3,V3,sub-02,0,0,0.052823,0.0
Backprop,Conv3,V3,sub-03,0,0,0.004981,0.011278
Backprop,Conv3,V4,sub-01,0,0,0.016917,0.0
Backprop,Conv3,V4,sub-02,0,0,0.013798,0.0
Backprop,Conv3,V4,sub-03,0,0,0.002882,0.14262
Backprop,Conv3,LOC,sub-01,0,0,0.005938,0.002519
Backprop,Conv3,LOC,sub-02,0,0,-0.014037,0.0
Backprop,Conv3,LOC,sub-03,0,0,-0.003117,0.112789
Backprop,Conv3,IT,sub-01,0,0,0.007262,0.00022
Backprop,Conv3,IT,sub-02,0,0,-0.002778,0.157498
Backprop,Conv3,IT,sub-03,0,0,0.002013,0.305884
Backprop,FC1,V1,sub-01,0,0,0.121403,0.0
Backprop,FC1,V1,sub-02,0,0,0.170759,0.0
Backprop,FC1,V1,sub-03,0,0,0.027952,0.0
Backprop,FC1,V2,sub-01,0,0,0.070131,0.0
Backprop,FC1,V2,sub-02,0,0,0.110121,0.0
Backprop,FC1,V2,sub-03,0,0,0.006657,0.000707
Backprop,FC1,V3,sub-01,0,0,0.048966,0.0
Backprop,FC1,V3,sub-02,0,0,0.091193,0.0
Backprop,FC1,V3,sub-03,0,0,0.007196,0.000251
Backprop,FC1,V4,sub-01,0,0,0.027373,0.0
Backprop,FC1,V4,sub-02,0,0,0.037491,0.0
Backprop,FC1,V4,sub-03,0,0,-0.00022,0.910725
Backprop,FC1,LOC,sub-01,0,0,0.002109,0.283296
Backprop,FC1,LOC,sub-02,0,0,-0.010685,0.0
Backprop,FC1,LOC,sub-03,0,0,-0.001063,0.588638
Backprop,FC1,IT,sub-01,0,0,0.003056,0.120015
Backprop,FC1,IT,sub-02,0,0,0.0088,8e-06
Backprop,FC1,IT,sub-03,0,0,0.001146,0.559804
Backprop,Conv1,V1,sub-01,0,1,0.004524,0.021355
Backprop,Conv1,V1,sub-02,0,1,0.022196,0.0
Backprop,Conv1,V1,sub-03,0,1,0.003553,0.070672
Backprop,Conv1,V2,sub-01,0,1,0.00161,0.412594
Backprop,Conv1,V2,sub-02,0,1,0.01235,0.0
Backprop,Conv1,V2,sub-03,0,1,0.000434,0.825308
Backprop,Conv1,V3,sub-01,0,1,0.005272,0.007315
Backprop,Conv1,V3,sub-02,0,1,0.013341,0.0
Backprop,Conv1,V3,sub-03,0,1,0.000339,0.863203
Backprop,Conv1,V4,sub-01,0,1,-0.001541,0.433016
Backprop,Conv1,V4,sub-02,0,1,0.00998,0.0
Backprop,Conv1,V4,sub-03,0,1,0.004629,0.018513
Backprop,Conv1,LOC,sub-01,0,1,0.004321,0.027913
Backprop,Conv1,LOC,sub-02,0,1,0.006716,0.000634
Backprop,Conv1,LOC,sub-03,0,1,-6.6e-05,0.973182
Backprop,Conv1,IT,sub-01,0,1,0.005946,0.002487
Backprop,Conv1,IT,sub-02,0,1,0.006516,0.000915
Backprop,Conv1,IT,sub-03,0,1,0.001974,0.315252
Backprop,Conv2,V1,sub-01,0,1,-0.003897,0.047393
Backprop,Conv2,V1,sub-02,0,1,-0.001423,0.469013
Backprop,Conv2,V1,sub-03,0,1,0.004862,0.013375
Backprop,Conv2,V2,sub-01,0,1,0.00146,0.45769
Backprop,Conv2,V2,sub-02,0,1,-0.00294,0.134659
Backprop,Conv2,V2,sub-03,0,1,0.002177,0.268052
Backprop,Conv2,V3,sub-01,0,1,0.003908,0.046784
Backprop,Conv2,V3,sub-02,0,1,-0.002578,0.189611
Backprop,Conv2,V3,sub-03,0,1,0.002755,0.160949
Backprop,Conv2,V4,sub-01,0,1,-0.00343,0.080933
